Mnemonic,MC68000/ MC68008,MC68010,MC68020,MC68030,MC68040,MC68060,MC68881/ MC68882,MC68851,CPU32
ABCD,x,x,x,x,x,x,,,x
ADD,x,x,x,x,x,x,,,x
ADDA,x,x,x,x,x,x,,,x
ADDI,x,x,x,x,x,x,,,x
ADDQ,x,x,x,x,x,x,,,x
ADDX,x,x,x,x,x,x,,,x
AND,x,x,x,x,x,x,,,x
ANDI,x,x,x,x,x,x,,,x
ANDI to CCR,x,x,x,x,x,x,,,x
ANDI to SR,x,x,x,x,x,x,,,x
"ASL, ASR",x,x,x,x,x,x,,,x
Bcc,x,x,x,x,x,x,,,x
BCHG,x,x,x,x,x,x,,,x
BCLR,x,x,x,x,x,x,,,x
BFCHG,,,x,x,x,x,,,
BFCLR,,,x,x,x,x,,,
BFEXTS,,,x,x,x,x,,,
BFEXTU,,,x,x,x,x,,,
BFFFO,,,x,x,x,x,,,
BFINS,,,x,x,x,x,,,
BFSET,,,x,x,x,x,,,
BFTST,,,x,x,x,x,,,
BGND,,,,,,,,,x
BKPT,,x,x,x,x,x,,,x
BRA,x,x,x,x,x,x,,,x
BSET,x,x,x,x,x,x,,,x
BSR,x,x,x,x,x,x,,,x
BTST,x,x,x,x,x,x,,,x
CALLM,,,x,,,,,,
"CAS, CAS2",,,x,x,x,"x,3",,,
CHK,x,x,x,x,x,x,,,x
CHK2,,,x,x,x,3,,,x
CINV,,,,,x,x,,,
CLR,x,x,x,x,x,x,,,x
CMP,x,x,x,x,x,x,,,x
CMPA,x,x,x,x,x,x,,,x
CMPI,x,x,x,x,x,x,,,x
CMPM,x,x,x,x,x,x,,,x
CMP2,,,x,x,x,3,,,x
cpBcc,,,x,x,,,,,
cpDBcc,,,x,x,,,,,
cpGEN,,,x,x,,,,,
cpRESTORE,,,x,x,,,,,
cpSAVE,,,x,x,,,,,
cpScc,,,x,x,,,,,
cpTRAPcc,,,x,x,,,,,
CPUSH,,,,,x,x,,,
DBcc,x,x,x,x,x,x,,,x
DIVS,x,x,x,x,x,"x,3",,,x
DIVSL,,,x,x,x,x,,,x
DIVU,x,x,x,x,x,"x,3",,,x
DIVUL,,,x,x,x,x,,,x
EOR,x,x,x,x,x,x,,,x
EORI,x,x,x,x,x,x,,,x
EORI to CCR,x,x,x,x,x,x,,,x
EORI to SR,x,x,x,x,x,x,,,x
EXG,x,x,x,x,x,x,,,x
EXT,x,x,x,x,x,x,,,x
EXTB,,,x,x,x,x,,,x
FABS,,,,,"x,2","x,2",x,,
"FSABS, FDABS",,,,,"x,2","x,2",,,
FACOS,,,,,"2,3","2,3",x,,
FADD,,,,,"x,2","x,2",x,,
"FSADD, FDADD",,,,,"x,2","x,2",,,
FASIN,,,,,"2,3","2,3",x,,
FATAN,,,,,"2,3","2,3",x,,
FATANH,,,,,"2,3","2,3",x,,
FBcc,,,,,"x,2","x,2",x,,
FCMP,,,,,"x,2","x,2",x,,
FCOS,,,,,"2,3","2,3",x,,
FCOSH,,,,,"2,3","2,3",x,,
FDBcc,,,,,"x,2","2,3",x,,
FDIV,,,,,"x,2","x,2",x,,
"FSDIV, FDDIV",,,,,"x,2","x,2",,,
FETOX,,,,,"2,3","2,3",x,,
FETOXM1,,,,,"2,3","2,3",x,,
FGETEXP,,,,,"2,3","2,3",x,,
FGETMAN,,,,,"2,3","2,3",x,,
FINT,,,,,"2,3","x,2",x,,
FINTRZ,,,,,"2,3","x,2",x,,
FLOG10,,,,,"2,3","2,3",x,,
FLOG2,,,,,"2,3","2,3",x,,
FLOGN,,,,,"2,3","2,3",x,,
FLOGNP1,,,,,"2,3","2,3",,,
FMOD,,,,,"2,3","2,3",x,,
FMOVE,,,,,"x,2","x,2",x,,
"FSMOVE, FDMOVE",,,,,"x,2","x,2",,,
FMOVECR,,,,,"2,3","2,3",x,,
FMOVEM,,,,,"x,2","x,2,3",x,,
FMUL,,,,,"x,2","x,2",x,,
"FSMUL, FDMUL",,,,,"x,2","x,2",,,
FNEG,,,,,"x,2","x,2",x,,
"FSNEG, FDNEG",,,,,"x,2","x,2",x,,
FNOP,,,,,"x,2","x,2",x,,
FREM,,,,,"2,3","2,3",x,,
FRESTORE,,,,,"x,2","x,2",x,,
FSAVE,,,,,"x,2","x,2",x,,
FSCALE,,,,,"2,3","2,3",x,,
FScc,,,,,"x,2","2,3",x,,
FSGLDIV,,,,,"2,3","2,3",x,,
FSGLMUL,,,,,"2,3","2,3",x,,
FSIN,,,,,"2,3","2,3",x,,
FSINCOS,,,,,"2,3","2,3",x,,
FSINH,,,,,"2,3","2,3",x,,
FSQRT,,,,,"x,2","x,2",x,,
"FSSQRT, FDSQRT",,,,,"x,2","x,2",,,
FSUB,,,,,"x,2","x,2",x,,
"FSSUB, FDSUB",,,,,"x,2","x,2",,,
FTAN,,,,,"2,3","2,3",x,,
FTANH,,,,,"2,3","2,3",x,,
FTENTOX,,,,,"2,3","2,3",x,,
FTRAPcc,,,,,"x,2","2,3",x,,
FTST,,,,,"x,2","x,2",x,,
FTWOTOX,,,,,"2,3","2,3",x,,
ILLEGAL,x,x,x,x,x,x,,,x
JMP,x,x,x,x,x,x,,,x
JSR,x,x,x,x,x,x,,,x
LEA,x,x,x,x,x,x,,,x
LINK,x,x,x,x,x,x,,,x
LPSTOP,,,,,,,,,x
"LSL,LSR",x,x,x,x,x,x,,,x
MOVE,x,x,x,x,x,x,,,x
MOVEA,x,x,x,x,x,x,,,x
MOVE from CCR,,x,x,x,x,x,,,x
MOVE to CCR,x,x,x,x,x,x,,,x
MOVE from SR,4,x,x,x,x,x,,,x
MOVE to SR,x,x,x,x,x,x,,,x
MOVE USP,x,x,x,x,x,x,,,x
MOVE16,,,,,x,x,,,
MOVEC,,x,x,x,x,x,,,x
MOVEM,x,x,x,x,x,x,,,x
MOVEP,x,x,x,x,x,,,,x
MOVEQ,x,x,x,x,x,x,,,x
MOVES,,x,x,x,x,x,,,x
MULS,x,x,x,x,x,"x,3",,,x
MULU,x,x,x,x,x,"x,3",,,x
NBCD,x,x,x,x,x,x,,,x
NEG,x,x,x,x,x,x,,,x
NEGX,x,x,x,x,x,x,,,x
NOP,x,x,x,x,x,x,,,x
NOT,x,x,x,x,x,x,,,x
OR,x,x,x,x,x,x,,,x
ORI,x,x,x,x,x,x,,,x
ORI to CCR,x,x,x,x,x,x,,,x
ORI to SR,x,x,x,x,x,x,,,x
PACK,,,x,x,x,x,,,
PBcc,,,,,,,,x,
PDBcc,,,,,,,,x,
PEA,x,x,x,x,x,x,,,x
